,task_id,experiment,source,difficulty,alpha,informative_d,noise_d,p,method,ari_mean,ari_se,topk_hits_mean,topk_hits_se,time_mean,time_se,B,n_per_cluster
0,0,gamma_1000,gamma,easy,10.0,10,990,1000,pbfi,0.0008465297565258732,0.000803086474071047,0.0,0.0,0.1146623907610774,0.005564084252388657,5000,200
1,0,gamma_1000,gamma,easy,10.0,10,990,1000,lrp,0.0008465297565258732,0.000803086474071047,0.0,0.0,0.918706082738936,0.4336721790177337,5000,200
2,0,gamma_1000,gamma,easy,10.0,10,990,1000,impacc,0.5052149477913134,0.07114907110912497,1.0,0.0,8.452683216705918,0.2382344753886224,5000,200
3,0,gamma_1000,gamma,easy,10.0,10,990,1000,split_cloc,0.0008465297565258732,0.000803086474071047,0.0,0.0,168.14305779915304,2.1035694993406073,5000,200
4,0,gamma_1000,gamma,easy,10.0,10,990,1000,cloc,0.0016179837467326166,0.00036856559030092577,0.0,0.0,1418.2965637613088,16.34913307364388,5000,200
5,0,gamma_1000,gamma,easy,10.0,10,990,1000,rampart,0.5470153066330975,0.12506729551303117,0.72,0.13190905958272922,538.3000360298902,15.309911579796454,5000,200
6,0,gamma_1000,gamma,easy,10.0,10,990,1000,perm,0.000858010076957855,0.0007317868426851028,0.0,0.0,56.8150096738711,1.4662797138842618,5000,200
7,0,gamma_1000,gamma,easy,10.0,10,990,1000,cshap,0.0003428327595176368,0.0006104210575939359,0.1,0.0,32.68918586298823,1.2927346317044415,5000,200
8,0,gamma_1000,gamma,hard,1.0,10,990,1000,pbfi,0.0007240583915440536,0.0003878424091599761,0.0,0.0,0.11887376811355352,0.00639098562029459,5000,200
9,0,gamma_1000,gamma,hard,1.0,10,990,1000,lrp,0.0007240583915440536,0.0003878424091599761,0.0,0.0,1.9256605058908463,1.4594482810045173,5000,200
10,0,gamma_1000,gamma,hard,1.0,10,990,1000,impacc,-3.1683919597356396e-07,1.8611211908363697e-06,0.06000000000000001,0.024494897427831782,8.59242911785841,0.31923097993978017,5000,200
11,0,gamma_1000,gamma,hard,1.0,10,990,1000,split_cloc,0.0007240583915440536,0.0003878424091599761,0.02,0.02,166.9025089563802,5.690252163639492,5000,200
12,0,gamma_1000,gamma,hard,1.0,10,990,1000,cloc,-0.00013524851492560365,0.0006670229132108629,0.02,0.02,1558.5902337972075,68.97551672434844,5000,200
13,0,gamma_1000,gamma,hard,1.0,10,990,1000,rampart,0.008286531239962987,0.005344271898397329,0.06000000000000001,0.04000000000000001,570.7095884328708,28.661953083422127,5000,200
14,0,gamma_1000,gamma,hard,1.0,10,990,1000,perm,0.0005145619841723382,0.0006120282070160035,0.0,0.0,58.6755418041721,2.3877993438886373,5000,200
15,0,gamma_1000,gamma,hard,1.0,10,990,1000,cshap,-0.00026458560932246164,0.000601512518997928,0.1,0.0,36.60333999022841,1.8838645331713664,5000,200
16,0,gamma_20,gamma,easy,10.0,10,10,20,pbfi,0.005981919402144207,0.0022803007560608228,0.02,0.02,0.02224172092974186,0.014801816946307944,5000,200
17,0,gamma_20,gamma,easy,10.0,10,10,20,lrp,0.005981919402144207,0.0022803007560608228,0.4,0.10488088481701516,3.800629972293973,3.4662459447462197,5000,200
18,0,gamma_20,gamma,easy,10.0,10,10,20,impacc,0.2760873497253959,0.08359042119425103,0.28,0.048989794855663564,7.670120323449373,0.3097302133494349,5000,200
19,0,gamma_20,gamma,easy,10.0,10,10,20,split_cloc,0.005981919402144207,0.0022803007560608228,0.5,0.05477225575051659,5.177095909044146,0.4284210827338239,5000,200
20,0,gamma_20,gamma,easy,10.0,10,10,20,cloc,0.010525025008513546,0.008132494773177425,0.1,0.054772255750516606,28.121242426522077,3.34263425404856,5000,200
21,0,gamma_20,gamma,easy,10.0,10,10,20,rampart,0.829212779378351,0.03249879196773011,1.0,0.0,13.830289725773037,0.21246986780993138,5000,200
22,0,gamma_20,gamma,easy,10.0,10,10,20,perm,0.005188482467089296,0.0023964953514325925,0.0,0.0,0.08558018431067467,0.014895765641864562,5000,200
23,0,gamma_20,gamma,easy,10.0,10,10,20,cshap,0.0010098595319450701,0.0008441594649715243,0.0,0.0,12.27362434156239,0.12589524634551413,5000,200
24,0,gamma_20,gamma,hard,1.0,10,10,20,pbfi,0.0005783149456891228,0.00030898314413541577,0.0,0.0,0.030404842272400857,0.02292249966545367,5000,200
25,0,gamma_20,gamma,hard,1.0,10,10,20,lrp,0.0005783149456891228,0.00030898314413541577,0.0,0.0,3.810267278179526,3.4638892626515774,5000,200
26,0,gamma_20,gamma,hard,1.0,10,10,20,impacc,0.0004693119483246473,0.0004473016108709775,0.21999999999999997,0.0374165738677394,8.553761893883348,0.06615205927968941,5000,200
27,0,gamma_20,gamma,hard,1.0,10,10,20,split_cloc,0.0005783149456891228,0.00030898314413541577,0.48,0.0374165738677394,7.522798697650432,1.0975044196404258,5000,200
28,0,gamma_20,gamma,hard,1.0,10,10,20,cloc,0.0006435302723331279,0.0005257207925150255,0.1,0.0316227766016838,29.65055520478636,3.179577449659598,5000,200
29,0,gamma_20,gamma,hard,1.0,10,10,20,rampart,0.08497881387131263,0.009150399189758079,0.8800000000000001,0.0374165738677394,13.724246568977833,0.2549037676765075,5000,200
30,0,gamma_20,gamma,hard,1.0,10,10,20,perm,0.0010382342989172393,0.0005043071259811027,0.0,0.0,0.07499384023249149,0.003922430421640482,5000,200
31,0,gamma_20,gamma,hard,1.0,10,10,20,cshap,-0.00018619561422333203,0.0003185744944828436,0.0,0.0,12.319224129989744,0.16971981407007142,5000,200
32,0,gamma_200,gamma,easy,10.0,10,190,200,pbfi,0.0033296522627030965,0.0010348833083654368,0.0,0.0,0.05141979474574328,0.01589930904547287,5000,200
33,0,gamma_200,gamma,easy,10.0,10,190,200,lrp,0.0033296522627030965,0.0010348833083654368,0.0,0.0,3.8660818617790937,3.449854033903541,5000,200
34,0,gamma_200,gamma,easy,10.0,10,190,200,impacc,0.4308005618662466,0.09876486965166127,0.4800000000000001,0.066332495807108,7.787196162715555,0.24577139689728236,5000,200
35,0,gamma_200,gamma,easy,10.0,10,190,200,split_cloc,0.0033296522627030965,0.0010348833083654368,0.06,0.06,27.80936385858804,2.2142508338789897,5000,200
36,0,gamma_200,gamma,easy,10.0,10,190,200,cloc,0.0038609607332642584,0.0010241883188991001,0.04,0.024494897427831782,171.94972727205604,7.497990558284539,5000,200
37,0,gamma_200,gamma,easy,10.0,10,190,200,rampart,0.8787490497577555,0.04239674174835985,1.0,0.0,86.49002532865852,0.6334405532637591,5000,200
38,0,gamma_200,gamma,easy,10.0,10,190,200,perm,0.0020167127405585775,0.0009222686149056679,0.0,0.0,1.9698567736893893,0.11224018271201469,5000,200
39,0,gamma_200,gamma,easy,10.0,10,190,200,cshap,0.0017383277557813759,0.001032389858862538,0.2,0.0,15.558983543515206,0.3168837622588448,5000,200
40,0,gamma_200,gamma,hard,1.0,10,190,200,pbfi,-3.40405309443653e-05,0.00043801257685910263,0.0,0.0,0.055556276068091395,0.02279150192823943,5000,200
41,0,gamma_200,gamma,hard,1.0,10,190,200,lrp,-3.40405309443653e-05,0.00043801257685910263,0.0,0.0,3.8378929629921914,3.4569503657871317,5000,200
42,0,gamma_200,gamma,hard,1.0,10,190,200,impacc,0.04434843653304997,0.00744629515434846,0.8000000000000002,0.05477225575051662,8.477544984593987,0.30051408367596566,5000,200
43,0,gamma_200,gamma,hard,1.0,10,190,200,split_cloc,-3.40405309443653e-05,0.00043801257685910263,0.06000000000000001,0.04000000000000001,24.265603685379027,2.581685256742675,5000,200
44,0,gamma_200,gamma,hard,1.0,10,190,200,cloc,0.0006925477244710767,0.0005338252263365993,0.04,0.024494897427831782,164.4149866245687,9.082114837189382,5000,200
45,0,gamma_200,gamma,hard,1.0,10,190,200,rampart,0.08732367747678184,0.010072692486653904,0.8,0.04472135954999581,80.26700260806828,2.5550589045282255,5000,200
46,0,gamma_200,gamma,hard,1.0,10,190,200,perm,0.00016220522187680725,9.887018531091637e-05,0.0,0.0,2.147908430546522,0.1016835123485128,5000,200
47,0,gamma_200,gamma,hard,1.0,10,190,200,cshap,-0.00018355797859372303,0.0006305663652654119,0.2,0.0,16.22791579645127,0.17451356634672294,5000,200
48,0,gamma_50,gamma,easy,10.0,10,40,50,pbfi,0.0010188418404596146,0.0006420366606149383,0.0,0.0,0.02762721572071314,0.015204450375727157,5000,200
49,0,gamma_50,gamma,easy,10.0,10,40,50,lrp,0.0010188418404596146,0.0006420366606149383,0.32,0.10677078252031312,3.827438373118639,3.45961158857867,5000,200
50,0,gamma_50,gamma,easy,10.0,10,40,50,impacc,0.28161188362528566,0.05314588721124335,0.45999999999999996,0.039999999999999994,7.2287920821458105,0.5529900345156857,5000,200
51,0,gamma_50,gamma,easy,10.0,10,40,50,split_cloc,0.0010188418404596146,0.0006420366606149383,0.22000000000000003,0.08,8.250452596135437,1.1266004939112726,5000,200
52,0,gamma_50,gamma,easy,10.0,10,40,50,cloc,0.005910718356107111,0.0035081890319764086,0.02,0.02,37.630406596511605,3.7354082366231416,5000,200
53,0,gamma_50,gamma,easy,10.0,10,40,50,rampart,0.7890747892827029,0.006907344805318704,1.0,0.0,26.148318586312236,0.7369577182374631,5000,200
